DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
Cundinamarca,CAJICÁ,1423,2019,11,2930902,9,0,0,0,0,0,0,0
Atlántico,PONEDERA,1423,2019,11,1741101,1,0,0,0,0,0,0,0
Quindio,ARMENIA,1423,2019,11,2712201,6,0,0,0,0,0,0,0
Atlántico,SOLEDAD,1423,2019,11,1513201,0,0,0,0,0,0,0,0
Atlántico,USIACURÍ,1423,2019,11,1919901,0,0,0,0,0,0,0,0
Valle del Cauca,CARTAGO,1423,2019,11,3319001,8,0,0,0,0,0,0,0
Cauca,CALOTO,1423,2019,11,1950001,0,0,0,0,0,0,0,0
Antioquia,YALÍ,1423,2019,11,2013001,0,0,0,0,0,0,0,0
Nariño,PASTO,1423,2019,11,2725001,3,1,0,0,0,0,0,0
Arauca,SARAVENA,1423,2019,11,1851201,13,2,0,0,0,0,0,0
Tolima,ESPINAL,1423,2019,11,5851501,6,0,0,0,0,0,0,0
Cundinamarca,CAJICÁ,1423,2019,11,5519001,0,0,0,0,0,0,0,0
Arauca,TAME,1423,2019,11,1504001,1,0,0,0,0,0,0,0
Santander,SOCORRO,1423,2019,11,1521101,2,0,0,0,0,0,0,0
Sucre,SINCELEJO,1423,2019,11,3912001,15,0,0,0,0,0,0,0
Cundinamarca,CHÍA,1423,2019,11,2712301,5,0,0,0,0,0,0,0
Valle del Cauca,CALI,1423,2019,11,2930301,28,17,0,0,0,0,0,0
Meta,ACACÍAS,1423,2019,11,3552302,4,0,0,0,0,0,0,0
Cundinamarca,SAN BERNARDO,1423,2019,11,2642401,0,0,0,0,0,0,0,0
Valle del Cauca,ANDALUCÍA,1423,2019,11,1511101,10,0,0,0,0,0,0,0
Magdalena,SANTA MARTA,1423,2019,11,1513201,43,0,0,0,0,0,0,0
Santander,BUCARAMANGA,1423,2019,11,3152102,13,0,0,0,0,0,0,0
Cundinamarca,GUACHETÁ,1423,2019,11,1521901,4,0,0,0,0,0,0,0
Casanare,MANÍ,1423,2019,11,1751201,62,234,0,0,0,0,0,0
Antioquia,SABANETA,1423,2019,11,2852001,4,0,0,0,0,0,0,0
Tolima,GUAMO,1423,2019,11,1853201,1,0,0,0,0,0,0,0
Cauca,PIENDAMÓ,1423,2019,11,5452201,0,0,0,0,0,0,0,0
Valle del Cauca,CALI,1423,2019,11,1524401,174,5,1,0,0,0,0,0
Amazonas,PUERTO ALEGRÍA,1423,2019,11,4454202,1,0,0,0,0,0,0,0
Valle del Cauca,EL DOVIO,1423,2019,11,2012101,0,0,0,0,0,0,0,0
Boyacá,SOGAMOSO,1423,2019,11,5523904,2,0,0,0,0,0,0,0
Valle del Cauca,PALMIRA,1423,2019,11,3851401,28,0,0,0,0,0,0,0
Magdalena,SANTA MARTA,1423,2019,11,5201001,34,0,1,0,0,0,0,0
Cundinamarca,TOCANCIPÁ,1423,2019,11,1702001,1,0,0,0,0,0,0,0
Valle del Cauca,PALMIRA,1423,2019,11,1702001,41,0,0,0,0,0,0,0
Atlántico,BARANOA,1423,2019,11,2522302,4,0,0,0,0,0,0,0
Magdalena,PLATO,1423,2019,11,1522901,0,0,0,0,0,0,0,0
Cundinamarca,GUADUAS,1423,2019,11,1749901,13,0,0,0,0,0,0,0
Putumayo,ORITO,1423,2019,11,1512501,16,0,0,0,0,0,0,0
Huila,PALERMO,1423,2019,11,1806001,8,0,0,0,0,0,0,0
Bolívar,CARTAGENA,1423,2019,11,5930901,31,4,0,0,0,0,0,0
Meta,VILLAVICENCIO,1423,2019,11,1523501,28,0,0,0,0,0,0,0
Cundinamarca,COTA,1423,2019,11,1721001,2,0,0,0,0,0,0,0
Antioquia,ITUANGO,1423,2019,11,1801101,0,0,0,0,0,0,0,0
Magdalena,FUNDACIÓN,1423,2019,11,3014003,4,0,0,0,0,0,0,0
Quindio,ARMENIA,1423,2019,11,4223901,0,0,0,0,0,0,0,0
Córdoba,COTORRA,1423,2019,11,1522901,2,0,0,0,0,0,0,0
Norte de Santander,TIBÚ,1423,2019,11,3900001,13,0,0,0,0,0,0,0
Cundinamarca,CHAGUANÍ,1423,2019,11,4524104,0,0,0,0,0,0,0,0
Norte de Santander,CÚCUTA,1423,2019,11,3851401,57,12,0,0,0,0,0,0
Chocó,LLORÓ,1423,2019,11,2522302,0,0,0,0,0,0,0,0
Santander,LOS SANTOS,1423,2019,11,2012301,4,0,0,0,0,0,0,0
Antioquia,COCORNÁ,1423,2019,11,5141101,2,0,0,0,0,0,0,0
Antioquia,ITAGUI,1423,2019,11,4604201,160,1,1,0,0,0,0,0
Caquetá,FLORENCIA,1423,2019,11,2514101,61,1,1,0,0,0,0,0
Cesar,CHIRIGUANÁ,1423,2019,11,1526201,2,0,0,0,0,0,0,0
Nariño,IPIALES,1423,2019,11,2642301,10,0,0,0,0,0,0,0
Tolima,CHAPARRAL,1423,2019,11,4502001,6,0,0,0,0,0,0,0
Cundinamarca,CACHIPAY,1423,2019,11,1801101,17,0,0,0,0,0,0,0
